id,value
Quake,
Quake.QuakeII,
Quake.QuakeII.GoldSource,
Quake.QuakeII.GoldSource.TeamFortressClassic,
Quake.QuakeII.GoldSource.CounterStrikeOnline,
Quake.QuakeII.GoldSource.SourceEngine,
Quake.QuakeII.GoldSource.SourceEngine.Portal,
Quake.QuakeII.GoldSource.SourceEngine.Portal.Portal2,
Quake.QuakeII.GoldSource.SourceEngine.Left4Dead,
Quake.QuakeII.GoldSource.SourceEngine.Left4Dead.CSGO,
Quake.QuakeII.GoldSource.SourceEngine.Left4Dead.Left4Dead2,
Quake.QuakeII.GoldSource.SourceEngine.Left4Dead.Titanfall,
Quake.QuakeII.GoldSource.SourceEngine.Left4Dead.Titanfall.Titanfall2,
Quake.QuakeII.GoldSource.SourceEngine.Left4Dead.Titanfall.Titanfall2.ApexLegends,
Quake.QuakeII.GoldSource.SourceEngine.HalfLife2,
Quake.QuakeII.GoldSource.SourceEngine.SourceMultiplayer,
Quake.QuakeII.GoldSource.SourceEngine.SourceMultiplayer.GarrysMod,
Quake.QuakeII.GoldSource.SourceEngine.SourceMultiplayer.TeamFortress2,
Quake.QuakeII.GoldSource.HalfLife,
Quake.QuakeII.GoldSource.HalfLife.CounterStrike,
Quake.QuakeII.QuakeIII,
Quake.QuakeII.QuakeIII.Doom3,
Quake.QuakeII.QuakeIII.Doom2016,
Quake.QuakeII.QuakeIII.Doom2016.DoomEternal,
Quake.QuakeII.QuakeIII.CallOfDuty,
Quake.QuakeII.QuakeIII.CallOfDuty.CallOfDuty2,
